,Words
0,å
1,å behage
2,å få gåsehud
3,å foreta ekspropriasjon
4,å formere seg raskt
5,å gjøre en fjær til fem høns
6,å ha skylapper på
7,å inngå samarbeid med interessenter
8,å kartlegge samfunnsansvar
9,å lagre noe for fremtiden
10,å regne med
11,å se
12,å skjule ansiktet med hånden
13,å spise frokost
14,å være aktivt medskyldig
15,å være distrè
16,å være medskydig
17,å være passivt medskyldig til egen fordel
18,å være stilltiende medskyldig
19,å være utstyrt med skylapper
20,åger
21,åger-
22,ågerkar
23,ågerkarl
24,ågerpris
25,ågrende
26,ågrer
27,åh
28,åh!
29,åk
30,åker
31,åkerbær
32,åkerbruk
33,åkerhøne
34,åkerjord
35,åkerreine
36,åkersprøyte
37,åkmagnet
38,åkmagnetisering
39,åkspole
40,ål
41,åle seg
42,ålefisker
43,åleglatt
44,ålreit
45,ålunge
46,åmot
47,ånd
48,ånde
49,åndedrag
50,åndedrett
51,åndedretts-
52,åndedretts-verneutstyr
53,åndedrettsbeskyttelse
54,åndedrettsdepresjon
55,åndedrettsmaske
56,åndedrettsstans
57,åndedrettssykdom
58,Åndedrettssystemet
59,åndedrettsterapi
60,åndedrettsvern
61,åndedyrker
62,åndedyrking
63,åndelig
64,åndelig bevegelse
65,åndelig oppvåkning
66,åndelig vekkelse
67,åndelighet
68,åndeløs
69,åndemaning
70,åndenød
71,åndens bolig
72,åndfullhet
73,ånding
74,åndrikhet
75,åndsfattig
76,åndsfellesskap
77,åndsforlatt
78,åndsfraværende
79,åndsfrende
80,åndssløv
81,åndssløvhet
82,åndssvakhet
83,ångstrøm
84,åpen
85,åpen beholder
86,åpen blindnagle
87,åpen bok
88,åpen brenning
89,åpen damp
90,åpen digel
91,åpen dyse
92,åpen flamme
93,åpen flamme forbudt
94,åpen for nye idéer
95,åpen fuge
96,åpen godsvogn
97,åpen kildekode
98,åpen krets
99,åpen mark
100,åpen overflate
101,åpen peis
102,åpen plass
103,åpen porøsitet
104,åpen rørende
105,åpen sekk
106,åpen slette med skog rundt
107,åpen sportsbil
108,åpen sprinkler
109,åpen varebil
110,åpenbar
111,åpenbare
112,åpenbare seg
113,åpenbarende
114,åpenbaring
115,åpenbarlig
116,åpenbart
117,åpenhet
118,åpenhjertig
119,åpenhjertighet
120,åpenlukket
121,åpenlyst
122,åpent
